episode,total_reward,average_q,safe_rate_100,attempted,executed,steps,epsilon,training_loss
307,-28.6590390021,19.1878013611,0.1300000000,117,117,141,0.7092073000,1.707224
308,-119.5727026594,19.2217388153,0.1300000000,74,74,88,0.7083361000,1.851744
309,-44.5179145812,18.0209693909,0.1400000000,64,64,80,0.7075441000,1.936012
310,-122.6370853472,18.7708892822,0.1400000000,57,57,66,0.7068907000,1.756571
311,-62.8129421014,18.3612041473,0.1400000000,90,90,116,0.7057423000,1.791892
312,-84.9633367400,17.9317588806,0.1400000000,51,51,62,0.7051285000,1.770406
313,-57.5131680060,18.1134910583,0.1400000000,92,92,111,0.7040296000,1.537989
314,-57.3671431931,18.0750980377,0.1400000000,51,51,65,0.7033861000,1.687235
315,-78.1113256080,18.0004310608,0.1300000000,78,78,101,0.7023862000,1.836397
316,-69.0750287888,18.1840362549,0.1300000000,85,85,102,0.7013764000,1.861847
317,-61.9263181944,17.5269355774,0.1300000000,53,53,74,0.7006438000,1.800928
318,-50.2238763407,17.8542900085,0.1400000000,68,68,88,0.6997726000,1.455161
319,-126.4531210979,18.2447052002,0.1400000000,59,59,76,0.6990202000,1.668143
320,-59.6344664397,18.0379981995,0.1500000000,76,76,91,0.6981193000,1.678668
321,-53.4009164429,17.3229618073,0.1500000000,97,97,116,0.6969709000,1.746313
322,-46.6984211667,17.0052604675,0.1500000000,106,106,125,0.6957334000,1.801074
323,-58.4122785679,17.5001316071,0.1500000000,64,64,85,0.6948919000,1.871027
324,-24.6173327596,16.5827198029,0.1500000000,80,80,103,0.6938722000,1.579588
325,-11.0140715459,16.7787837982,0.1500000000,74,74,97,0.6929119000,1.591653
326,-72.2777153829,16.7496757507,0.1500000000,42,42,59,0.6923278000,1.531634
327,-48.8083746941,17.1238861084,0.1600000000,56,56,76,0.6915754000,1.387910
328,-116.3232726716,17.4413032532,0.1500000000,66,66,80,0.6907834000,1.773861
329,-18.8615483216,17.1879177094,0.1400000000,79,79,91,0.6898825000,1.872267
