episode,total_reward,average_q,safe_rate_100,attempted,executed,steps,epsilon,training_loss
230,-124.6233278619,6.0765180588,0.0500000000,67,56,101,0.7968223000,1.914845
231,-73.5948543170,6.0812392235,0.0500000000,56,48,69,0.7961392000,1.837267
232,-71.2724664642,6.0156993866,0.0500000000,61,48,77,0.7953769000,1.587263
233,-123.5140891518,5.8693890572,0.0500000000,50,44,77,0.7946146000,2.400733
234,-145.5455951905,5.4638266563,0.0500000000,57,49,67,0.7939513000,1.631781
235,-40.0995516756,6.4145398140,0.0500000000,62,53,85,0.7931098000,1.755935
236,-108.7894562228,5.5296268463,0.0500000000,72,64,92,0.7921990000,1.789167
237,-22.3681808117,4.6933712959,0.0500000000,54,47,72,0.7914862000,1.762317
238,-141.7141311670,4.7479953766,0.0500000000,72,64,97,0.7905259000,1.774301
239,-177.7851359744,4.6035380363,0.0500000000,99,84,131,0.7892290000,2.245826
240,-116.7690175089,5.0650868416,0.0500000000,86,73,112,0.7881202000,1.759543
241,-139.0911171354,5.2256412506,0.0500000000,58,50,75,0.7873777000,1.974718
242,-156.1910831870,4.7867650986,0.0500000000,60,52,83,0.7865560000,2.203706
243,-111.1511692110,4.5328030586,0.0500000000,74,63,97,0.7855957000,1.737398
244,-129.5633083749,4.7654762268,0.0500000000,80,66,103,0.7845760000,1.667024
245,-88.0537911089,4.5195717812,0.0500000000,52,45,76,0.7838236000,1.921561
246,-131.3022690283,4.7167358398,0.0500000000,64,50,84,0.7829920000,1.928909
247,-65.7256201477,4.9397621155,0.0500000000,40,33,60,0.7823980000,1.929502
248,-44.3674770737,4.7176122665,0.0600000000,72,63,94,0.7814674000,1.634598
249,-91.9919320838,4.5693454742,0.0600000000,61,50,85,0.7806259000,2.350092
250,-110.1222542968,4.4637751579,0.0600000000,75,63,107,0.7795666000,1.916054
251,-99.9980086413,4.0934715271,0.0600000000,49,39,66,0.7789132000,1.688823
252,-109.8646944566,4.2896246910,0.0600000000,77,66,97,0.7779529000,1.922388
253,-74.5214041503,4.2982072830,0.0600000000,51,45,61,0.7773490000,1.733022
254,-129.6018579038,3.7616593838,0.0600000000,86,72,115,0.7762105000,1.824614
255,-109.3815858610,3.8195466995,0.0600000000,70,63,95,0.7752700000,2.196716
256,-117.0792698625,3.9845857620,0.0600000000,80,74,102,0.7742602000,1.960264
257,-107.9579283798,3.8962414265,0.0600000000,67,55,87,0.7733989000,1.602095
258,-106.2008900631,3.4780721664,0.0600000000,55,52,73,0.7726762000,1.613638
259,-102.4828257255,2.8071529865,0.0600000000,65,60,85,0.7718347000,2.117504
260,-126.1178127685,2.5447506905,0.0600000000,75,56,102,0.7708249000,1.860785
261,-18.8521574516,3.1183183193,0.0700000000,56,50,69,0.7701418000,2.449884
262,-17.8005852514,2.7610867023,0.0700000000,62,53,85,0.7693003000,2.192970
263,-89.5645431924,2.9291603565,0.0600000000,50,43,61,0.7686964000,1.810186
264,-133.0698784958,2.9821751118,0.0600000000,63,53,84,0.7678648000,1.967795
265,-120.6688973321,1.6987165213,0.0600000000,72,57,95,0.7669243000,1.894046
266,-119.8823921869,1.9505181313,0.0600000000,80,65,109,0.7658452000,2.158310
267,-125.4935090257,1.5303585529,0.0600000000,70,60,87,0.7649839000,1.904715
268,-55.4307421245,1.5999946594,0.0600000000,53,46,67,0.7643206000,1.534912
269,-176.9998693362,1.6819838285,0.0600000000,68,62,85,0.7634791000,1.870111
270,-159.1828365975,1.7544531822,0.0600000000,94,80,126,0.7622317000,1.998596
271,-80.8195400644,1.5988904238,0.0600000000,93,75,114,0.7611031000,2.030462
272,-24.0985541352,1.2462726831,0.0700000000,57,51,75,0.7603606000,2.230635
273,-60.4612057668,1.7024987936,0.0600000000,70,65,98,0.7593904000,1.773542
274,-131.3857861723,2.4970717430,0.0600000000,78,72,94,0.7584598000,1.848874
275,-111.5189223527,1.4513485432,0.0600000000,55,50,78,0.7576876000,2.040278
276,-84.9164277670,0.7209181190,0.0600000000,52,43,69,0.7570045000,2.631087
277,-105.4687776096,1.2246079445,0.0600000000,88,73,119,0.7558264000,2.017855
278,-137.6533162502,1.0364619493,0.0600000000,58,49,78,0.7550542000,2.205694
279,-119.3427784037,0.9218897820,0.0600000000,87,73,113,0.7539355000,1.793077
280,-66.0204274866,1.0506813526,0.0600000000,58,52,72,0.7532227000,1.842956
281,-105.2157493614,0.1955257058,0.0600000000,61,56,79,0.7524406000,2.058246
282,-139.4056396548,0.0967918336,0.0600000000,63,51,81,0.7516387000,2.045332
283,-87.7155473374,0.0175175369,0.0600000000,82,69,109,0.7505596000,1.928713
284,-101.3959772828,0.6695336699,0.0600000000,90,77,116,0.7494112000,2.215926
285,-138.5245856281,0.3816105425,0.0600000000,59,49,80,0.7486192000,1.896461
286,-95.6467910594,0.8976306915,0.0600000000,61,58,75,0.7478767000,1.993398
287,-112.7082015536,-0.1758986115,0.0600000000,56,47,87,0.7470154000,1.888194
288,-103.0026144439,-0.9436167479,0.0600000000,54,42,73,0.7462927000,1.573785
289,-120.3247245391,0.1455073357,0.0600000000,62,48,86,0.7454413000,1.891533
