episode,total_reward,average_q,safe_rate_100,attempted,executed,steps,epsilon,training_loss
226,-98.9899311878,21.6380844116,0.0200000000,48,48,64,0.7867342000,1.453475
227,-74.0640071193,21.5991458893,0.0200000000,54,54,74,0.7860016000,1.560851
228,-76.5463134914,21.3599433899,0.0200000000,103,103,128,0.7847344000,1.942909
229,-90.2788449581,20.9727439880,0.0200000000,79,79,99,0.7837543000,1.477824
230,-173.4574085236,21.7481040955,0.0100000000,83,83,107,0.7826950000,1.569286
231,-82.1976744435,21.1096096039,0.0100000000,51,51,66,0.7820416000,1.548526
232,-49.4979651499,21.2103672028,0.0100000000,66,66,79,0.7812595000,1.632938
233,-41.1460102650,21.2981643677,0.0100000000,66,66,84,0.7804279000,1.885037
234,-71.6484490356,21.1456222534,0.0100000000,64,64,82,0.7796161000,1.572154
235,-118.9871802498,21.1169338226,0.0100000000,65,65,87,0.7787548000,1.676862
236,-123.4550818380,21.0630187988,0.0100000000,69,69,84,0.7779232000,1.493541
237,-90.3774108155,20.5620079041,0.0100000000,66,66,79,0.7771411000,1.538128
238,-79.1885735845,20.9014396667,0.0100000000,76,76,99,0.7761610000,1.840692
239,-192.6842251189,20.3974571228,0.0100000000,111,111,136,0.7748146000,1.693084
240,-75.4674759717,20.0576229095,0.0100000000,90,90,108,0.7737454000,1.715704
241,6.8917473734,20.4051036835,0.0100000000,59,59,71,0.7730425000,1.643630
242,-115.8815853778,19.3376140594,0.0100000000,80,80,97,0.7720822000,1.745693
243,-90.3076983063,19.8919601440,0.0100000000,77,77,98,0.7711120000,1.586654
244,-97.3875255947,19.9885025024,0.0100000000,89,89,106,0.7700626000,1.742659
245,-48.0189630407,19.7674064636,0.0200000000,56,56,70,0.7693696000,2.027872
246,-108.1002558913,19.4632892609,0.0200000000,61,61,80,0.7685776000,1.780995
247,-79.1922639051,19.5648345947,0.0200000000,52,52,61,0.7679737000,1.770342
248,-47.4060467439,19.5880584717,0.0200000000,76,76,101,0.7669738000,1.832935
249,-92.9450796268,19.2793769836,0.0200000000,69,69,88,0.7661026000,1.691975
250,-101.2417581696,18.8004817963,0.0200000000,80,80,102,0.7650928000,1.646006
251,-56.0453123136,20.0331039429,0.0200000000,63,63,80,0.7643008000,2.199724
252,-140.0623571253,18.6555557251,0.0200000000,70,70,86,0.7634494000,1.938795
253,-88.2355928848,19.4098815918,0.0200000000,47,47,56,0.7628950000,1.424933
254,-80.4049570185,17.9063968658,0.0200000000,96,96,120,0.7617070000,2.191430
255,-8.6857138995,17.6623001099,0.0200000000,113,113,135,0.7603705000,1.628138
256,-16.7145938205,17.9994735718,0.0300000000,97,97,125,0.7591330000,1.810280
257,-122.3568540423,18.3047714233,0.0300000000,83,83,111,0.7580341000,1.982012
258,-128.9029976958,17.0403594971,0.0300000000,68,68,83,0.7572124000,1.611440
259,-30.3117696105,17.0909156799,0.0300000000,77,77,101,0.7562125000,1.914634
260,-107.1366737817,17.5294589996,0.0300000000,73,73,93,0.7552918000,1.842728
261,-45.1704870192,16.6620674133,0.0400000000,56,56,72,0.7545790000,1.218604
262,-47.4082725757,16.7232017517,0.0400000000,77,77,97,0.7536187000,1.739137
263,-32.6553854760,16.8012199402,0.0400000000,59,59,71,0.7529158000,1.948145
264,-195.1830684775,16.1947422028,0.0400000000,91,91,109,0.7518367000,1.685366
265,-62.5609185545,15.7639026642,0.0400000000,110,110,131,0.7505398000,1.996075
266,-58.3611295663,16.4410953522,0.0400000000,110,110,129,0.7492627000,2.084319
267,-201.8800090134,15.9472541809,0.0300000000,84,84,103,0.7482430000,1.955176
268,-16.9711190784,15.9424457550,0.0400000000,56,56,70,0.7475500000,1.549837
269,-100.9989722799,15.6056690216,0.0400000000,64,64,84,0.7467184000,1.876105
270,-186.4587441143,15.0060482025,0.0400000000,110,110,145,0.7452829000,1.695637
271,-76.3863708728,15.8154735565,0.0400000000,70,70,96,0.7443325000,1.910067
272,-64.0615509422,15.5478382111,0.0400000000,80,80,94,0.7434019000,1.909203
273,-75.0040787804,14.6649417877,0.0400000000,90,90,114,0.7422733000,1.925705
274,-126.8857883057,15.3640823364,0.0400000000,82,82,100,0.7412833000,2.129779
275,-67.9614653349,15.2218294144,0.0400000000,63,63,78,0.7405111000,1.629749
276,-62.3010681544,15.0922889709,0.0400000000,72,72,85,0.7396696000,1.814668
277,-84.0203496483,15.0382966995,0.0400000000,82,82,102,0.7386598000,1.587045
278,-108.5344459116,14.8462152481,0.0400000000,62,62,74,0.7379272000,2.117667
279,-35.3893364332,13.7063179016,0.0400000000,100,100,122,0.7367194000,1.931841
280,-60.9765532840,14.1634807587,0.0400000000,54,54,66,0.7360660000,1.745285
281,-78.8044097678,14.3933982849,0.0400000000,73,73,92,0.7351552000,1.854308
282,-80.8003770173,13.9889526367,0.0400000000,79,79,98,0.7341850000,1.829802
283,-79.4806373152,14.2519512177,0.0400000000,92,92,109,0.7331059000,2.006370
284,-43.6645813128,13.0309886932,0.0400000000,102,102,128,0.7318387000,1.859217
285,-80.8360692413,14.1011428833,0.0400000000,68,68,84,0.7310071000,1.822400
286,-111.4676794363,13.5003786087,0.0400000000,73,73,93,0.7300864000,2.224558
287,-58.5626439295,13.7315683365,0.0400000000,115,115,139,0.7287103000,1.798636
288,-64.2736955235,13.7793579102,0.0400000000,53,53,72,0.7279975000,1.425495
289,-72.9310759171,12.5756587982,0.0400000000,66,66,82,0.7271857000,1.561913
290,-58.1612590945,12.0145874023,0.0400000000,80,80,99,0.7262056000,2.114531
291,-73.4285935398,12.4648857117,0.0400000000,103,103,122,0.7249978000,1.829760
292,-74.0966484416,11.9802665710,0.0400000000,70,70,84,0.7241662000,1.571418
293,-76.6645024496,12.4460544586,0.0400000000,83,83,101,0.7231663000,1.897919
294,-92.5230728700,11.1312246323,0.0400000000,74,74,101,0.7221664000,1.707758
295,-142.4098843400,11.8474121094,0.0400000000,75,75,98,0.7211962000,1.615216
296,-60.5839274052,11.0220775604,0.0400000000,85,85,113,0.7200775000,2.167725
297,-71.4040523943,11.9835109711,0.0400000000,69,69,82,0.7192657000,1.847643
298,-109.2406384375,11.5098953247,0.0400000000,69,69,85,0.7184242000,1.830173
299,-64.1355236266,10.8030700684,0.0400000000,77,77,87,0.7175629000,1.904852
300,-56.6577634222,11.0721979141,0.0400000000,88,88,113,0.7164442000,1.869629
301,-171.0663443773,10.7262554169,0.0400000000,85,85,100,0.7154542000,1.664337
302,-112.9870962695,10.7935695648,0.0400000000,54,54,66,0.7148008000,2.081488
303,-13.6492520242,10.1165313721,0.0400000000,102,102,125,0.7135633000,2.099709
304,-45.8233421579,10.9172143936,0.0400000000,47,47,66,0.7129099000,2.100694
305,-57.8431515653,9.9120054245,0.0400000000,106,106,122,0.7117021000,2.326991
306,-87.3938880416,10.6895189285,0.0400000000,82,82,97,0.7107418000,2.321657
307,-5.0416313764,10.1932506561,0.0400000000,115,115,136,0.7093954000,2.053267
308,-106.2741615709,10.1773109436,0.0400000000,73,73,90,0.7085044000,2.246442
309,-44.6518543658,9.3316879272,0.0500000000,65,65,79,0.7077223000,2.178892
310,-146.2540585473,9.6380710602,0.0500000000,62,62,73,0.7069996000,2.014849
311,-62.5713462676,9.7055149078,0.0500000000,89,89,120,0.7058116000,2.219280
312,-16.6473794842,9.7388219833,0.0500000000,57,57,67,0.7051483000,1.895181
313,-72.2910284278,9.5565376282,0.0500000000,119,119,138,0.7037821000,2.014676
314,-53.8257823148,8.8492326736,0.0500000000,54,54,75,0.7030396000,1.774247
315,-53.4696665039,9.0773658752,0.0600000000,82,82,105,0.7020001000,2.369001
316,-49.4923176755,9.1912555695,0.0600000000,108,108,134,0.7006735000,2.077648
317,-59.3259861481,9.0748310089,0.0600000000,63,63,79,0.6998914000,1.643977
318,-130.8370160332,9.6607589722,0.0600000000,74,74,94,0.6989608000,1.792806
319,-88.7537555828,9.7401008606,0.0600000000,65,65,79,0.6981787000,2.115097
320,-95.4694702184,8.3599901199,0.0600000000,72,72,87,0.6973174000,2.214764
321,-118.4243935900,8.1405982971,0.0600000000,86,86,100,0.6963274000,1.821083
322,-86.4329606514,7.9736680984,0.0600000000,73,73,91,0.6954265000,2.149022
323,-61.4255393238,8.5811166763,0.0600000000,75,75,97,0.6944662000,2.064251
324,-6.1294700992,8.7190952301,0.0600000000,111,111,136,0.6931198000,2.000525
325,-105.0586821525,7.9967694283,0.0600000000,51,51,73,0.6923971000,1.858976
326,-61.2454654020,8.0738039017,0.0600000000,55,55,73,0.6916744000,2.083863
327,-80.2020091355,8.7946844101,0.0600000000,67,67,80,0.6908824000,2.067063
328,-13.0464617177,8.7201366425,0.0600000000,89,89,109,0.6898033000,2.133909
329,-19.7932216008,8.5230932236,0.0600000000,67,67,84,0.6889717000,1.900431
